site,monitor,date,start_hour,value,variable,units,quality,prelim,name,latitude,longitude,obs_type,monitoring_id,flag 
2143,-,2017-10-06,3,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-06,4,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-06,5,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-06,6,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-06,7,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-06,8,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-06,9,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-06,10,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-06,11,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-06,12,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-06,13,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-06,14,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-06,15,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-06,16,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-06,17,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-06,18,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-06,19,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-06,20,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-06,21,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-06,22,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-06,23,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-07,0,4.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-07,1,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-07,2,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-07,3,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-07,4,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-07,5,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-07,6,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-07,7,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-07,8,17.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-07,9,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-07,10,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-07,11,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-07,12,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
